,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,Y_true,Y_pred
53579,9190,216425,132.525,132.525,0,0,0,1.0,18,26.097857
65787,9954,217390,168.8625,168.8625,0,0,0,1.0,47,23.730005
112779,9532,219029,309.9375,309.9375,0,0,0,1.0,28,33.13329
8875,9611,398721,448.1625,448.1625,0,0,0,1.0,5,10.151243
44413,9279,219844,228.0,281.4375,0,1,1,0.810126582278481,32,56.607296
803,9613,219029,320.625,320.625,0,0,0,1.0,77,58.632362
47151,9823,673209,355.5375,355.5375,0,0,0,1.0,25,22.972815
68331,8392,216425,111.8625,141.075,0,0,1,0.7929292929292929,21,18.292381
142456,9112,222765,254.3625,254.3625,0,0,0,1.0,65,76.00771
126013,8222,222765,178.8375,231.5625,1,1,1,0.7723076923076924,242,243.41649
137647,8398,219009,198.075,225.8625,1,0,1,0.8769716088328074,225,209.28082
83802,9432,378934,205.9125,205.9125,0,0,0,1.0,10,10.598664
95955,8023,545621,284.2875,355.5375,0,0,1,0.7995991983967936,16,16.527311
132455,9611,320485,212.325,212.325,0,0,0,1.0,52,41.9743
59743,9680,223153,210.9,210.9,0,0,0,1.0,31,34.82764
144055,9680,222087,151.7625,242.25,0,0,1,0.6264705882352941,12,12.166443
11558,8091,223153,177.4125,234.4125,1,1,1,0.756838905775076,58,92.261024
2800,9250,222765,232.9875,232.9875,0,0,0,1.0,66,55.997173
102101,9190,223153,235.8375,235.8375,0,0,0,1.0,20,26.681433
126959,9881,216425,131.8125,131.8125,0,0,0,1.0,58,39.437943
147200,9279,216418,86.925,87.6375,0,1,1,0.991869918699187,69,71.46538
29188,8991,217777,235.8375,235.8375,0,0,0,1.0,16,19.000559
131267,9532,245338,339.8625,469.5375,1,1,1,0.723823975720789,48,51.34088
71397,9823,320485,213.0375,213.0375,0,0,0,1.0,16,42.173656
146889,8398,222087,172.425,172.425,0,0,0,1.0,44,76.08047
22863,9813,216233,114.7125,114.7125,0,0,0,1.0,72,50.92202
42002,9164,216418,106.875,106.875,0,0,0,1.0,111,111.74829
19273,9611,600934,454.575,454.575,0,0,0,1.0,8,12.613646
16717,9281,679023,205.9125,205.9125,0,1,0,1.0,14,7.3752823
110571,9713,216418,105.45,105.45,0,0,0,1.0,99,112.35078
50327,9456,300021,69.1125,69.1125,0,0,0,1.0,8,16.62056
49882,8400,216233,134.6625,134.6625,0,0,0,1.0,58,30.751362
65425,9532,222087,101.8875,231.5625,0,0,1,0.44,57,42.11046
7487,9328,219844,230.1375,230.1375,0,0,0,1.0,8,13.700377
26388,9809,245338,448.1625,448.1625,0,0,0,1.0,14,18.37106
82703,9481,216233,133.95,133.95,0,0,0,1.0,55,63.33986
126393,9273,300021,71.25,89.0625,0,0,1,0.8,3,3.9377706
121276,8091,216419,104.025,104.025,0,0,0,1.0,40,28.783756
88893,9954,378934,205.9125,205.9125,0,0,0,1.0,23,26.790947
71822,8398,547934,177.4125,177.4125,0,0,0,1.0,15,11.712124
45860,9632,216419,69.1125,69.1125,0,0,0,1.0,20,31.573227
116091,9430,216418,109.0125,109.0125,0,0,0,1.0,115,77.196014
113166,9961,378934,213.0375,213.0375,0,0,0,1.0,16,10.819858
108781,8398,245338,498.0375,498.0375,0,1,0,1.0,19,25.21412
88930,9984,223245,224.4375,224.4375,0,0,0,1.0,29,36.59996
16602,9164,378934,205.9125,205.9125,0,0,0,1.0,16,18.734066
140961,8063,216418,88.35,86.925,0,1,0,1.0163934426229508,42,38.205833
81771,9813,217777,224.4375,224.4375,0,0,0,1.0,15,19.68336
62413,8094,223245,227.2875,227.2875,0,0,0,1.0,47,40.53163
109194,9425,378934,205.9125,205.9125,0,0,0,1.0,15,17.997213
14039,8319,219009,220.875,220.875,0,0,0,1.0,28,35.58803
13210,9273,219009,187.3875,187.3875,0,0,0,1.0,46,61.450596
109175,9430,547934,177.4125,177.4125,0,0,0,1.0,17,8.844989
47716,9092,216418,69.825,69.825,0,0,0,1.0,81,67.1295
141347,9164,245338,490.9125,490.9125,0,0,0,1.0,28,23.926222
93091,9479,245387,469.5375,469.5375,0,0,0,1.0,5,8.032097
145928,9132,216419,84.7875,84.7875,0,0,0,1.0,13,10.828043
37790,9680,216425,117.5625,117.5625,0,0,0,1.0,27,19.029022
44301,9147,216425,133.95,133.95,0,0,0,1.0,46,47.88381
58065,8991,219009,198.7875,198.7875,0,0,0,1.0,70,92.616135
8008,9890,216419,106.875,106.875,0,0,0,1.0,96,51.999046
811,9613,245387,426.7875,451.0125,1,1,1,0.9462875197472355,42,45.478157
122203,9813,223153,235.8375,235.8375,0,0,0,1.0,32,17.25238
124565,9845,216418,106.1625,106.1625,0,0,0,1.0,199,202.55748
115415,9881,222087,190.95,227.2875,0,0,1,0.8401253918495297,47,71.17559
118546,9532,300021,69.825,85.5,0,0,1,0.8166666666666667,38,47.792225
74952,9879,216425,126.1125,126.1125,0,0,0,1.0,28,17.965498
90157,8063,547934,142.5,177.4125,0,0,1,0.8032128514056225,7,10.928714
126293,9132,216419,67.6875,84.7875,0,0,1,0.7983193277310925,5,12.9228325
70041,9532,217777,234.4125,234.4125,0,0,0,1.0,32,34.051716
111631,9532,245387,469.5375,469.5375,0,0,0,1.0,14,18.42789
65347,9456,219844,232.9875,232.9875,0,0,0,1.0,23,17.41559
29222,9043,216419,119.7,119.7,0,0,0,1.0,51,47.130928
118187,9092,245338,469.5375,469.5375,0,0,0,1.0,21,20.101025
117692,9879,219029,312.7875,312.7875,0,0,0,1.0,16,23.11319
33031,9479,245387,469.5375,469.5375,0,0,0,1.0,8,8.032097
136231,9909,219009,228.7125,228.7125,0,0,0,1.0,167,84.22939
39514,8438,216425,114.7125,114.7125,0,0,0,1.0,62,30.441517
1952,9613,300021,98.325,99.0375,0,1,1,0.9928057553956835,65,69.10779
51153,8911,217390,161.7375,161.7375,0,0,0,1.0,20,21.028618
95192,9250,216233,122.55,122.55,0,0,0,1.0,100,67.162346
115545,8094,398721,469.5375,469.5375,0,0,0,1.0,1,8.954571
106208,9909,245338,332.7375,498.0375,1,1,1,0.6680972818311874,84,111.113174
127707,9436,222765,178.125,227.2875,0,1,1,0.7836990595611285,23,33.671494
92257,9872,223245,211.6125,213.0375,0,1,1,0.9933110367892978,83,117.67718
80628,9823,327492,71.9625,111.15,0,1,1,0.6474358974358975,59,62.81319
90029,9909,216233,134.6625,134.6625,0,0,0,1.0,60,50.608437
28168,9190,327492,74.1,185.9625,0,0,1,0.39846743295019155,33,23.816967
59112,8398,223245,268.6125,268.6125,0,0,0,1.0,15,27.082304
39839,9371,216419,105.45,111.8625,0,1,1,0.9426751592356688,48,61.23172
119831,9731,219009,222.3,222.3,0,0,0,1.0,60,55.668076
74239,8991,378934,205.9125,205.9125,0,0,0,1.0,30,36.13726
73335,9371,300021,106.1625,106.1625,0,1,0,1.0,41,47.712498
1538,9112,216425,129.675,129.675,0,0,0,1.0,34,54.425335
30397,9092,219009,227.2875,227.2875,0,0,0,1.0,38,53.82364
26241,9680,216233,116.1375,134.6625,0,0,1,0.8624338624338624,22,25.3305
142534,9221,217777,235.8375,235.8375,0,0,0,1.0,37,27.604801
143380,8317,217217,237.975,237.975,0,0,0,1.0,6,10.239291
133607,9611,219009,219.45,219.45,0,0,0,1.0,70,102.84256
56616,8095,222765,234.4125,234.4125,0,0,0,1.0,80,80.81162
97872,9713,219009,140.3625,204.4875,0,0,1,0.686411149825784,130,134.79414
146453,9813,219009,195.9375,195.9375,0,0,0,1.0,73,57.799374
96297,9164,378934,213.0375,213.0375,0,0,0,1.0,18,17.737783
16212,8094,222765,240.825,240.825,0,0,0,1.0,35,37.418102
129222,9876,216418,71.25,81.225,0,0,1,0.8771929824561404,9,17.356274
2174,9876,217390,136.0875,168.15,0,0,1,0.809322033898305,30,29.632778
143551,8911,216425,131.8125,131.8125,0,0,0,1.0,7,13.529722
88596,9632,300021,87.6375,87.6375,0,0,0,1.0,16,10.886752
97467,9190,300021,70.5375,87.6375,0,0,1,0.8048780487804877,27,33.11434
54062,9823,300291,111.8625,111.8625,0,0,0,1.0,31,30.876383
76009,9823,216425,114.7125,133.95,0,0,1,0.8563829787234044,62,84.98586
109980,8438,222765,178.125,206.625,0,0,1,0.8620689655172413,55,73.50913
13829,9961,216425,133.2375,133.2375,0,0,0,1.0,55,47.577892
112936,9789,216419,87.6375,87.6375,0,0,0,1.0,50,36.354046
85299,9845,216233,127.5375,133.95,0,1,1,0.9521276595744681,150,159.28961
99336,8091,219029,327.0375,327.0375,0,0,0,1.0,34,35.505753
126848,9837,216419,109.725,109.725,0,0,0,1.0,40,42.16325
11446,9880,219009,213.0375,213.0375,0,0,0,1.0,67,66.35455
107611,8398,216418,106.1625,106.1625,0,0,0,1.0,75,95.5022
101713,8023,300291,71.25,109.725,0,1,1,0.6493506493506493,34,32.048206
8850,9672,300021,106.875,106.875,0,0,0,1.0,18,23.285164
19204,9498,216425,113.2875,132.525,0,0,1,0.8548387096774193,39,35.484165
48213,9713,223245,227.2875,227.2875,0,0,0,1.0,31,33.745663
64663,9984,216418,89.0625,89.0625,0,0,0,1.0,10,11.059218
79305,9672,300021,104.7375,106.1625,0,1,1,0.9865771812080537,47,38.151142
22530,9442,219009,208.7625,208.7625,0,0,0,1.0,35,37.16245
20602,9809,216418,103.3125,103.3125,0,0,0,1.0,85,83.558136
136925,9432,216233,131.8125,131.8125,0,0,0,1.0,25,26.334085
14818,9837,217217,285.0,285.0,0,0,0,1.0,34,27.351816
121788,9273,245387,469.5375,469.5375,0,0,0,1.0,15,13.789373
17960,9432,216233,131.8125,131.8125,0,0,0,1.0,22,26.334085
110712,9845,219009,220.875,220.875,0,0,0,1.0,201,138.32149
67710,9490,245338,469.5375,469.5375,0,0,0,1.0,19,11.1305895
70807,9043,219009,210.1875,210.1875,0,0,0,1.0,14,59.279427
141975,9881,216233,140.3625,140.3625,0,0,0,1.0,63,58.448196
61296,8023,378934,205.9125,205.9125,0,0,0,1.0,24,27.174856
105764,9436,245338,319.9125,469.5375,1,1,1,0.6813353566009105,46,43.304367
137566,8222,245387,512.2875,512.2875,0,0,0,1.0,16,10.891789
74882,9837,222765,222.3,222.3,0,0,0,1.0,91,54.892403
140018,8555,216419,86.2125,86.2125,0,0,0,1.0,21,18.943832
98027,9872,219029,295.6875,295.6875,0,0,0,1.0,36,33.085384
137936,9250,223245,233.7,233.7,0,0,0,1.0,31,35.38969
45894,9713,216425,133.95,133.2375,0,1,0,1.0053475935828875,53,45.30327
126424,9279,222765,176.7,227.2875,1,0,1,0.7774294670846394,128,64.27669
139836,8023,378934,212.325,212.325,0,0,0,1.0,35,31.289427
42210,9432,216418,67.6875,67.6875,0,0,0,1.0,51,49.018894
149062,8063,547934,141.7875,191.6625,0,0,1,0.7397769516728624,2,14.6017885
29169,8869,216233,132.525,132.525,0,0,0,1.0,79,56.97092
144103,9745,222765,254.3625,254.3625,0,0,0,1.0,41,47.262745
949,9823,600934,462.4125,462.4125,0,0,0,1.0,19,12.807241
112843,9613,223245,229.425,229.425,0,0,0,1.0,45,55.387104
137809,9092,216233,132.525,132.525,0,0,0,1.0,37,22.82658
89549,9439,223245,213.0375,213.0375,0,0,0,1.0,53,34.03253
134591,9439,219009,183.825,183.825,0,0,0,1.0,77,44.16288
101837,8398,216419,101.175,101.175,0,0,0,1.0,51,70.124115
92147,9789,216233,126.825,126.825,0,0,0,1.0,18,16.790327
144518,8218,216419,87.6375,87.6375,0,0,0,1.0,55,29.254124
35905,8058,320485,205.9125,205.9125,0,0,0,1.0,25,14.902259
146829,8218,216425,126.825,126.825,0,0,0,1.0,7,9.381435
5055,9164,223153,241.5375,241.5375,0,0,0,1.0,18,20.017355
94347,9611,245338,498.0375,498.0375,0,0,0,1.0,42,38.42771
67368,9092,679023,213.0375,213.0375,0,1,0,1.0,21,17.014458
113918,9498,219029,312.7875,312.7875,0,0,0,1.0,18,31.588203
103190,9112,245338,353.4,498.0375,0,0,1,0.7095851216022889,41,65.93518
98096,9881,245338,359.8125,498.0375,1,1,1,0.7224606580829757,91,124.6277
94812,8058,222765,234.4125,234.4125,0,0,0,1.0,41,51.76186
86862,8422,223245,173.85,213.0375,0,0,1,0.8160535117056856,55,59.023956
70088,9611,223245,210.9,210.9,0,0,0,1.0,77,67.02514
36486,9479,217777,236.55,236.55,0,0,0,1.0,26,18.9186
105388,8562,222765,234.4125,234.4125,0,0,0,1.0,51,58.236874
27983,8555,216419,69.825,69.825,0,0,0,1.0,25,30.06133
107839,9164,300021,105.45,105.45,0,0,0,1.0,36,55.37795
137739,8869,216233,141.075,141.075,0,0,0,1.0,57,68.27678
53485,9043,320485,205.9125,205.9125,0,0,0,1.0,10,13.654272
129881,9279,217217,232.275,232.9875,0,1,1,0.9969418960244648,31,40.819103
72648,9879,222087,210.9,210.9,0,0,0,1.0,14,21.685116
65903,8063,679023,177.4125,213.0375,0,1,1,0.8327759197324415,9,12.4798155
1876,9498,216418,70.5375,84.075,1,1,1,0.8389830508474575,108,133.2496
70745,8869,216418,105.45,105.45,0,0,0,1.0,62,119.80834
23678,9371,222765,234.4125,234.4125,0,0,0,1.0,40,31.18802
42917,8319,222765,240.825,240.825,0,0,0,1.0,4,11.3498335
116945,8869,216418,109.725,109.725,0,0,0,1.0,164,127.39752
109364,9611,547934,177.4125,177.4125,0,0,0,1.0,28,24.44551
55710,8555,223153,191.6625,191.6625,0,0,0,1.0,17,16.106054
110127,9132,219009,195.225,195.225,0,0,0,1.0,70,57.04509
51280,9190,223245,227.2875,227.2875,0,0,0,1.0,38,40.060333
28971,8058,219844,278.5875,278.5875,0,0,0,1.0,13,18.620504
110945,8063,245387,469.5375,469.5375,0,0,0,1.0,23,18.006405
41002,9371,222087,182.4,227.2875,0,0,1,0.8025078369905957,42,37.974693
136836,9281,547934,141.7875,177.4125,0,0,1,0.7991967871485943,11,10.441341
60755,9481,216419,88.35,88.35,1,1,0,1.0,376,188.83917
52944,9809,300021,106.875,106.875,0,0,0,1.0,61,40.3254
118509,9481,217390,138.9375,138.9375,0,0,0,1.0,72,145.89545
76469,8422,245387,469.5375,469.5375,0,0,0,1.0,7,10.689302
59653,9532,223245,215.8875,215.8875,0,0,0,1.0,28,22.382954
84822,9273,222087,205.2,205.2,0,0,0,1.0,25,35.99429
110111,9112,219844,232.9875,274.3125,0,0,1,0.8493506493506494,33,38.662807
12895,8392,219009,209.475,209.475,0,0,0,1.0,19,33.525005
30520,9250,222765,232.9875,232.9875,0,0,0,1.0,57,55.997173
24788,9279,245338,469.5375,469.5375,0,0,0,1.0,15,16.169447
57640,9880,216425,128.9625,128.9625,0,0,0,1.0,25,23.774406
38586,9221,219009,212.325,212.325,0,0,0,1.0,44,42.89987
115518,8095,222087,195.9375,218.025,0,0,1,0.8986928104575164,51,99.15006
68738,9430,300021,104.025,104.025,0,0,0,1.0,33,32.42366
121374,8058,222087,171.0,211.6125,1,1,1,0.8080808080808081,188,190.66898
98673,9273,300021,71.25,86.2125,1,0,1,0.8264462809917354,7,12.9018955
134014,8094,217217,237.975,237.975,0,0,0,1.0,15,20.143242
142930,9731,216233,141.075,141.075,0,0,0,1.0,23,39.490597
97836,9632,300021,69.825,87.6375,0,0,1,0.7967479674796748,18,13.095582
104827,9745,216233,116.1375,133.95,0,0,1,0.8670212765957448,66,66.31968
95064,9043,222087,161.7375,227.2875,0,0,1,0.7115987460815048,53,52.13497
141307,9112,673209,344.1375,344.1375,0,0,0,1.0,18,14.285938
20894,8058,245387,448.1625,448.1625,0,0,0,1.0,20,15.188856
100374,9880,300021,86.925,86.925,0,0,0,1.0,19,18.648098
53746,9425,216418,69.825,69.825,0,0,0,1.0,61,43.350662
143766,9281,547934,191.6625,191.6625,0,0,0,1.0,10,9.210965
13770,9881,216233,133.95,133.95,0,0,0,1.0,79,50.658783
104288,8911,222087,234.4125,234.4125,0,0,0,1.0,8,19.562277
129811,9190,217390,173.1375,173.1375,0,0,0,1.0,39,44.43171
29040,8317,378934,205.9125,205.9125,0,0,0,1.0,45,50.913486
3430,9954,547934,170.2875,170.2875,0,0,0,1.0,10,16.595129
63136,9672,216425,134.6625,134.6625,0,0,0,1.0,28,32.65666
107487,8023,300021,106.1625,106.1625,0,0,0,1.0,116,90.33796
130877,9092,216419,69.825,86.2125,0,1,1,0.8099173553719008,82,81.7529
20133,9273,300021,69.825,69.825,0,0,0,1.0,18,14.765331
145870,8911,223245,213.0375,213.0375,0,0,0,1.0,34,30.968912
9636,9112,547934,177.4125,177.4125,0,0,0,1.0,21,22.569511
65127,9190,300021,87.6375,87.6375,0,0,0,1.0,35,32.98452
68023,9879,216233,114.0,131.1,0,0,1,0.8695652173913044,39,43.52481
12321,9672,222087,176.7,176.7,0,0,0,1.0,69,56.304157
1966,9613,245387,426.7875,451.0125,1,1,1,0.9462875197472355,40,45.478157
91278,8094,217390,166.0125,166.0125,0,0,0,1.0,36,38.687286
44503,9439,222765,205.2,205.2,0,0,0,1.0,11,17.048954
24413,8317,216233,117.5625,117.5625,0,0,0,1.0,115,60.20367
137974,9279,222765,239.4,239.4,0,0,0,1.0,25,37.997314
46862,9456,300021,69.1125,69.1125,0,0,0,1.0,15,16.62056
135592,9190,320485,205.9125,205.9125,0,0,0,1.0,46,49.815163
113441,8438,219029,312.7875,312.7875,0,0,0,1.0,21,35.04128
